date,title,label,link
1/10/23,What is Data Science,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/01_Intro_DS.pdf
1/12/23,Ethics,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/02_Ethics.pdf
1/17/23,Data Science Questions,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/03_Data_Science_Questions.pdf
1/19/23,Reproducibility & Bias,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/04_Reproducibility.pdf
1/24/23,Data,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/05_Data.pdf
1/26/23,Getting Data,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/06_Getting_Data.pdf
1/27/23,Quiz 1 due,QUIZ,https://www.gradescope.com/courses/476408
1/31/23,Data Wrangling,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/07_Data_Wrangling.pdf
2/2/23,Programming for Data Science,LECT,https://youtube.com/playlist?list=PLD5-aTcdS37qPYQQxrMxIXyeNwxZmOLR9
2/3/23,Quiz 2 due,QUIZ,https://www.gradescope.com/courses/476408
2/7/23,Data Viz & Descriptive Analysis,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/09_Dataviz_Descriptive_Analysis.pdf
2/9/23,Exploratory Data Analysis,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/10_EDA.pdf
2/10/23,Quiz 3 due,QUIZ,https://www.gradescope.com/courses/476408
2/13/23,Assignment 1 due,ASSG,https://www.gradescope.com/courses/476408
2/14/23,Guest Lec. (prerecorded not in-class),GLCT,https://youtu.be/IBSyWraGaTM
2/16/23,Communicating Data Science,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/11_Communicating_DataViz.pdf
2/20/23,Final Project Part 1 due,PROJ,https://www.gradescope.com/courses/476408
2/21/23,[Extra Credit] Team evaluation due,EXTR,https://forms.gle/1HJ1GjYn1Pk5fQiKA
2/21/23,Inferential Analysis,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/12_Inference.pdf
2/23/23,Machine Learning I,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/13_machine_learning.pdf
2/24/23,Quiz 4 due,QUIZ,https://www.gradescope.com/courses/476408
2/27/23,Assignment 2 due,ASSG,https://www.gradescope.com/courses/476408
2/28/23,Machine Learning II,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/14_machine_learning_II.pdf
3/2/23,Text & Geospatial Analysis,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/15_text_geospatial_analysis.pdf
3/6/23,Assignment 3 due,ASSG,https://www.gradescope.com/courses/476408
3/7/23,In-class guest lecture - Brian Verkhovsky from AWS,GLCT,https://youtu.be/IBSyWraGaTM
3/9/23,Giving a Data Science Talk,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/16_CompVis_Deconstruct_DS.pdf
3/10/23,Quiz 5 due,QUIZ,https://www.gradescope.com/courses/476408
3/14/23,Algorithms & Computability,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/17_Algorithms_Computability.pdf
3/16/23,Future of Data Sci & Jobs,LECT,https://s3.us-west-2.amazonaws.com/ucsd.cogs9/lecture-slides/18_Future_DS_Jobs.pdf
3/19/23,Final Project Part 2 due,PROJ,https://www.gradescope.com/courses/476408
3/23/23,No class!,CNCL,
3/24/23,[Extra Credit] CAPEs due,EXTR,https://cape.ucsd.edu/
3/25/23,Take home exam due,EXAM,https://www.gradescope.com/courses/476408
