date,title,label,link
24/1/8,What is Data Science,LECT,https://drive.google.com/file/d/1m2MMW3Ah63b6-8RXHwVSLecxi0Ktd6BY/view?usp=sharing
24/1/10,Ethics,LECT,https://drive.google.com/file/d/1WeGAsso0y-zqa5ZcbuEgd1_qgbuIsCns/view?usp=sharing
24/1/12,Data Science Questions,LECT,
24/1/15,No class! (MLK Holiday),CNCL,
24/1/17,Reproducibility,LECT,
24/1/19,Data & Data Types,LECT,
24/1/22,Getting Data,LECT,
24/1/24,Data Wrangling,LECT,
24/1/26,Programming and Version Control,LECT,
24/1/26,Quiz 1 due,QUIZ,
24/1/29,Data Visualization I,LECT,
24/1/31,Data Visualization II,LECT,
24/2/2,Quiz 2 due,QUIZ,
24/2/2,Descriptive Analysis,LECT,
24/2/5,Exploratory Data Analysis,LECT,
24/2/7,Guest Lecture (TBD),GLCT,
24/2/9,Data Science Communication,LECT,
24/2/9,Quiz 3 due,QUIZ,
24/2/12,Analytical Approaches,LECT,
24/2/12,Assignment 1 due,ASSG,
24/2/14,Inference,LECT,
24/2/16,A|B Testing,LECT,
24/2/16,Final Project Part 1 due,PROJ,
24/2/19,Machine Learning I,LECT,
24/2/21,Machine Learning II,LECT,
24/2/23,Machine Learning III,LECT,
24/2/23,Quiz 4 due,QUIZ,
24/2/26,Guest Lecture (TBD),GLCT,
24/2/26,Assignment 2 due,ASSG,
24/2/28,Geospatial Analysis,LECT,
24/3/1,Text Analysis I,LECT,
24/3/1,Quiz 5 due,QUIZ,
24/3/4,Text Analysis-II,LECT,
24/3/6,Network Analysis,LECT,
24/3/8,Guest Lecture (TBD),GLCT,
24/3/8,Assignment 3 due,ASSG,
24/3/11,Giving a Data Science Talk/ Neural Networks (TBD),LECT,
24/3/11,Algorithms and Computability,LECT,
24/3/15,Future of Data Science,LECT,
24/3/15,Final Project Part 2 due,PROJ,
24/3/23,Take-Home Exam,EXAM,
