course_calendar,,,
date,title,label,link
2024-01-08,What is Data Science,LECT,https://drive.google.com/file/d/1m2MMW3Ah63b6-8RXHwVSLecxi0Ktd6BY/view?usp=sharing
2024-01-10,Ethics,LECT,
2024-01-12,Data Science Questions,LECT,
2024-01-15,No class! (MLK Holiday),CNCL,
2024-01-17,Reproducibility,LECT,
2024-01-19,Data & Data Types,LECT,
2024-01-22,Getting Data,LECT,
2024-01-24,Data Wrangling,LECT,
2024-01-26,Programming and Version Control,LECT,
2024-01-26,Quiz 1 due,QUIZ,
2024-01-29,Data Visualization I,LECT,
2024-01-31,Data Visualization II,LECT,
2024-02-02,Quiz 2 due,QUIZ,
2024-02-02,Descriptive Analysis,LECT,
2024-02-05,Exploratory Data Analysis,LECT,
2024-02-07,Guest Lecture (TBD),GLCT,
2024-02-09,Data Science Communication,LECT,
2024-02-09,Quiz 3 due,QUIZ,
2024-02-12,Analytical Approaches,LECT,
2024-02-12,Assignment 1 due,ASSG,
2024-02-14,Inference,LECT,
2024-02-16,A|B Testing,LECT,
2024-02-16,Final Project Part 1 due,PROJ,
2024-02-19,Machine Learning I,LECT,
2024-02-21,Machine Learning II,LECT,
2024-02-23,Machine Learning III,LECT,
2024-02-23,Quiz 4 due,QUIZ,
2024-02-26,Guest Lecture (TBD),GLCT,
2024-02-26,Assignment 2 due,ASSG,
2024-02-28,Geospatial Analysis,LECT,
2024-03-01,Text Analysis I,LECT,
2024-03-01,Quiz 5 due,QUIZ,
2024-03-04,Text Analysis-II,LECT,
2024-03-06,Network Analysis,LECT,
2024-03-08,Guest Lecture (TBD),GLCT,
2024-03-08,Assignment 3 due,ASSG,
2024-03-11,Giving a Data Science Talk/ Neural Networks (TBD),LECT,
2024-03-13,Algorithms and Computability,LECT,
2024-03-15,Future of Data Science,LECT,
2024-03-17,Final Project Part 2 due,PROJ,
2024-03-23,Take-Home Exam,EXAM,
